,files changed,lines added,lines removed,loops added,loops removed,ifs added,ifs removed,boolean_op added,boolean_op removed,pairs added,pairs removed,function calls added,function calls removed,assignment added,assignment removed,sizeof added,sizeof removed,continue added,continue removed,break added,break removed,goto added,goto removed,return added,return removed,numerical added,numerical removed,compare added,compare removed,error added,error removed,char changed
308,1,10,9,1,1,0,0,0,0,5,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,6,4,1,1,0,0,57
309,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16
310,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14
311,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-6
312,1,5,4,0,0,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,9
313,1,7,2,0,0,0,0,0,0,3,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
314,3,16,9,0,0,1,0,3,0,14,9,12,9,0,0,0,0,0,0,0,0,0,0,0,0,21,10,0,0,0,0,242
315,2,7,2,0,0,1,0,0,0,6,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,190
316,1,11,2,0,0,2,1,12,5,11,4,3,2,1,0,0,0,0,0,0,0,0,0,1,0,14,2,1,0,0,0,324
317,1,3,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,85
318,3,71,44,1,0,8,6,0,0,48,34,41,30,0,8,0,0,1,0,0,0,1,0,1,1,23,23,4,3,27,5,714
319,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1,51,4,2,0,5,1,4,1,22,3,9,2,8,0,0,0,0,0,0,0,0,0,3,1,9,0,4,0,1,0,1496
321,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
322,2,11,2,0,0,1,1,6,2,7,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,0,0,366
323,1,11,8,0,0,1,1,2,1,7,6,4,3,6,5,0,0,0,0,0,0,0,0,0,0,11,16,1,0,0,0,78
324,1,9,9,0,0,2,2,0,0,6,6,3,3,2,2,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,46
325,1,13,3,0,0,2,0,0,0,4,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,171
326,1,7,5,0,0,1,1,2,1,7,5,4,3,4,4,2,1,0,0,0,0,0,0,0,0,6,3,3,2,0,0,59
327,1,13,4,0,0,0,0,0,0,7,2,7,2,3,2,1,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,253
328,1,14,12,0,1,5,2,1,0,3,2,1,0,2,3,0,0,0,0,1,1,0,0,1,0,15,12,3,2,1,0,178
329,2,8,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,180
330,1,3,3,0,0,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
331,1,2,6,0,0,1,2,0,0,1,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,-164
332,2,19,24,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-5
333,1,5,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,142
334,2,57,5,2,0,6,0,1,0,18,4,15,4,7,1,2,0,0,0,0,0,0,0,5,0,7,2,2,0,19,5,1483
335,2,6,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
336,1,34,1,1,0,3,0,1,0,5,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1225
337,1,14,0,0,0,2,0,0,0,6,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,4,0,339
338,1,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,182
339,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
340,1,1,1,0,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,24
341,1,8,2,1,1,1,0,1,1,6,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,144
342,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
343,1,4,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,119
344,1,5,1,0,0,1,0,0,0,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,42
345,2,3,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,1,6,1,0,0,0,0,0,0,6,2,6,2,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,122
347,1,4,6,0,0,1,1,0,2,4,5,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-89
348,3,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,243
349,1,5,1,0,0,1,1,0,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,59
350,1,2,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,47
351,3,4,1,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,1,0,100
352,1,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18
353,1,8,19,0,0,3,4,2,2,13,13,2,3,3,3,0,0,0,0,0,3,0,0,1,2,8,7,2,4,0,0,-157
354,1,17,4,0,0,1,0,3,0,3,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,11,4,1,0,0,0,333
355,1,289,41,0,0,0,0,0,0,46,6,39,3,1,1,0,0,0,0,0,0,0,0,42,0,41,0,0,0,0,0,5062
356,2,4,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,122
357,2,4,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
358,1,4,5,0,0,1,2,0,0,2,3,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,0,2,3,3,-19
359,1,1,1,0,0,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,-1
360,1,0,10,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,-288
361,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70
362,1,11,2,0,0,2,1,2,0,5,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,5,1,1,1,0,0,219
363,1,7,7,2,1,0,0,1,1,4,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4,2,65
364,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
365,1,9,2,0,0,0,0,0,0,1,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,168
366,1,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,127
367,2,20,27,0,0,5,5,2,2,15,17,7,9,6,6,3,2,0,0,0,0,0,0,1,0,20,27,0,0,0,1,-144
368,1,7,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,173
369,2,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,65
370,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49
371,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
372,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,83
373,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
374,3,16,6,0,0,2,0,5,1,8,4,6,4,2,0,1,1,0,0,0,0,0,0,1,1,2,1,3,1,0,0,208
375,1,2,1,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
376,1,7,5,0,0,2,1,4,5,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,21
